Kp_alt,Kd_alt,Score
0.005,0.0,11091.13899228547
0.005,0.02,10657.382234200311
0.005,0.05,10630.053802339007
0.005,0.08,10641.062710859427
0.005,0.12,10683.349747922
0.005,0.2,10820.115215883672
0.01,0.0,10606.541146377667
0.01,0.02,10606.541146377667
0.01,0.05,10606.541146377667
0.01,0.08,10606.541146377667
0.01,0.12,10606.541146377667
0.01,0.2,10606.83215710388
0.015,0.0,10606.541146377667
0.015,0.02,10606.541146377667
0.015,0.05,10606.541146377667
0.015,0.08,10606.541146377667
0.015,0.12,10606.541146377667
0.015,0.2,10606.541146377667
0.02,0.0,10606.541146377667
0.02,0.02,10606.541146377667
0.02,0.05,10606.541146377667
0.02,0.08,10606.541146377667
0.02,0.12,10606.541146377667
0.02,0.2,10606.541146377667
0.03,0.0,10606.541146377667
0.03,0.02,10606.541146377667
0.03,0.05,10606.541146377667
0.03,0.08,10606.541146377667
0.03,0.12,10606.541146377667
0.03,0.2,10606.541146377667
0.05,0.0,10606.541146377667
0.05,0.02,10606.541146377667
0.05,0.05,10606.541146377667
0.05,0.08,10606.541146377667
0.05,0.12,10606.541146377667
0.05,0.2,10606.541146377667
