phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
takeoff,engines:3,left,6,300000,calm,survived,120.0,600,20,85,23,2,7.6
takeoff,wing-loss,left,6,300000,calm,CRASH,11.9,86,0,85,23,180,40.8
takeoff,rudder-hardover,right,10,300000,calm,survived,120.0,600,20,85,23,50,10.3
takeoff,engines:3+4,left,14,300000,calm,survived,120.0,600,20,85,23,8,7.6
takeoff,engines:1,left,18,300000,calm,survived,120.0,600,20,85,23,3,7.6
takeoff,windshear,-,18,300000,calm,survived,120.0,600,20,66,3,0,14.9
takeoff,engines:2+3+4,left,6,300000,tailwind,survived,120.0,208,20,64,2,6,13.1
takeoff,engines:4,left,10,300000,tailwind,survived,120.0,600,20,73,11,4,9.5
takeoff,wing-loss,right,10,300000,tailwind,CRASH,16.7,126,0,73,11,180,61.1
takeoff,elevator-jam,-,14,300000,tailwind,CRASH,115.6,415,0,73,11,0,9.5
takeoff,engines:1+4,left,18,300000,tailwind,survived,120.0,600,20,73,11,0,9.5
takeoff,engines:1,left,6,300000,headwind,survived,120.0,600,20,91,28,4,6.3
takeoff,windshear,-,6,300000,headwind,survived,120.0,600,20,64,2,0,18.1
takeoff,engines:1+2+3+4,left,10,300000,headwind,CRASH,38.7,261,0,56,-7,180,179.9
takeoff,engines:1+2,left,14,300000,headwind,survived,120.0,600,20,88,24,9,6.3
takeoff,explosion,left,14,300000,headwind,CRASH,21.6,184,0,72,9,63,180.0
takeoff,aileron-hardover,left,18,300000,headwind,CRASH,32.6,303,0,91,28,108,14.5
takeoff,engines:1+4,left,6,300000,crosswind,survived,120.0,600,20,81,18,4,7.5
takeoff,engines:2,left,10,300000,crosswind,survived,120.0,600,20,86,24,4,7.5
takeoff,runaway-trim,-,10,300000,crosswind,CRASH,42.8,301,0,86,24,4,7.5
takeoff,rudder-hardover,left,14,300000,crosswind,survived,120.0,600,20,86,24,48,9.6
takeoff,engines:2+3,left,18,300000,crosswind,survived,120.0,600,20,86,24,4,7.5
takeoff,explosion,right,18,300000,crosswind,CRASH,26.7,233,0,69,6,88,179.8
takeoff,aileron-hardover,left,6,380000,calm,CRASH,18.5,127,0,85,15,105,37.3
takeoff,engines:1+2+3,left,10,380000,calm,survived,120.0,262,20,70,0,5,14.5
takeoff,engines:3,left,14,380000,calm,survived,120.0,600,20,85,15,2,9.6
takeoff,wing-loss,left,14,380000,calm,CRASH,21.7,175,0,85,15,180,120.1
takeoff,rudder-hardover,right,18,380000,calm,CRASH,62.1,569,-1,75,4,121,180.0
takeoff,engines:2+3,left,6,380000,tailwind,survived,120.0,544,20,73,3,0,11.8
takeoff,explosion,right,6,380000,tailwind,CRASH,9.3,27,0,73,2,82,179.8
takeoff,aileron-hardover,right,10,380000,tailwind,CRASH,22.8,131,-1,73,3,103,38.2
takeoff,engines:2+3+4,left,14,380000,tailwind,survived,120.0,234,14,70,0,5,14.5
takeoff,engines:4,left,18,380000,tailwind,survived,120.0,600,20,73,3,4,11.8
takeoff,wing-loss,right,18,380000,tailwind,CRASH,25.8,181,0,73,3,180,120.9
takeoff,rudder-hardover,right,6,380000,headwind,CRASH,46.2,423,0,71,0,114,180.0
takeoff,engines:3+4,left,10,380000,headwind,survived,120.0,601,20,79,8,7,9.6
takeoff,engines:1,left,14,380000,headwind,survived,120.0,600,20,90,20,3,8.3
takeoff,windshear,-,14,380000,headwind,CRASH,35.2,259,0,65,-6,180,180.0
takeoff,engines:1+2+3+4,left,18,380000,headwind,CRASH,46.4,334,0,63,-8,180,180.0
takeoff,engines:4,left,6,380000,crosswind,survived,120.0,600,20,86,16,4,9.5
takeoff,wing-loss,right,6,380000,crosswind,CRASH,11.6,70,0,86,16,180,39.4
takeoff,elevator-jam,-,10,380000,crosswind,survived,120.0,490,20,86,16,4,9.5
takeoff,engines:1+4,left,14,380000,crosswind,survived,120.0,601,20,79,7,4,10.2
takeoff,engines:2,left,18,380000,crosswind,survived,120.0,600,20,86,16,4,9.5
takeoff,runaway-trim,-,18,380000,crosswind,CRASH,47.4,372,0,86,16,4,9.5
takeoff,engines:1+2+3+4,left,6,440000,calm,CRASH,25.6,86,0,68,-8,0,91.2
takeoff,engines:1+2,left,10,440000,calm,survived,120.0,455,20,82,5,6,11.0
takeoff,explosion,left,10,440000,calm,CRASH,15.4,83,0,80,4,63,179.9
takeoff,aileron-hardover,left,14,440000,calm,CRASH,27.7,195,0,85,10,100,126.9
takeoff,engines:1+2+3,left,18,440000,calm,CRASH,63.3,298,-1,70,-6,150,179.9
takeoff,engines:2,left,6,440000,tailwind,survived,120.0,600,20,73,-2,2,13.3
takeoff,runaway-trim,-,6,440000,tailwind,CRASH,24.4,70,0,73,-2,0,13.3
takeoff,rudder-hardover,left,10,440000,tailwind,CRASH,38.6,243,0,71,-5,87,174.2
takeoff,engines:2+3,left,14,440000,tailwind,survived,120.0,389,20,73,-2,0,13.3
takeoff,explosion,right,14,440000,tailwind,CRASH,18.7,59,0,73,-2,86,179.8
takeoff,aileron-hardover,right,18,440000,tailwind,CRASH,31.1,159,0,73,-2,99,93.2
takeoff,engines:1+2+3,left,6,440000,headwind,CRASH,44.3,124,0,71,-4,20,90.8
takeoff,engines:3,left,10,440000,headwind,survived,120.0,600,20,90,13,2,9.4
takeoff,wing-loss,left,10,440000,headwind,CRASH,16.2,101,0,90,14,180,63.1
takeoff,rudder-hardover,right,14,440000,headwind,CRASH,45.4,389,0,74,-3,126,179.9
takeoff,engines:3+4,left,18,440000,headwind,survived,120.0,569,20,82,5,6,11.0
takeoff,nominal,-,-,440000,crosswind,survived,120.0,600,20,86,10,5,10.7
takeoff,aileron-hardover,right,6,440000,crosswind,CRASH,17.3,87,0,86,10,98,42.4
takeoff,engines:2+3+4,left,10,440000,crosswind,CRASH,50.6,178,0,70,-6,149,167.2
takeoff,engines:4,left,14,440000,crosswind,survived,120.0,600,20,86,10,5,10.7
takeoff,wing-loss,right,14,440000,crosswind,CRASH,21.1,145,-1,86,10,180,104.9
takeoff,elevator-jam,-,18,440000,crosswind,survived,120.0,523,20,86,10,5,10.7
climb,engines:3+4,left,20,300000,calm,survived,200.0,5990,3000,157,57,6,6.0
climb,engines:1,left,60,300000,calm,survived,200.0,5991,3000,157,57,3,6.0
climb,windshear,-,60,300000,calm,survived,200.0,5896,3000,134,41,0,7.6
climb,engines:1+2+3+4,left,100,300000,calm,survived,200.0,4944,1358,80,-16,180,180.0
climb,engines:4,left,20,380000,calm,survived,200.0,5988,3000,157,44,3,7.9
climb,wing-loss,right,20,380000,calm,CRASH,58.6,3311,0,97,-1,180,180.0
climb,elevator-jam,-,60,380000,calm,survived,200.0,4413,3000,157,54,0,7.9
climb,engines:1+4,left,100,380000,calm,survived,200.0,5988,3000,157,44,0,7.9
climb,engines:1,left,20,440000,calm,survived,200.0,5984,3000,156,36,3,8.7
